P1,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,c2,omega,xi,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.978815511,0.142597593,4.214687501,3.754716316,0.183500561,3.219606193,2.101503374,4.62578075,0.401027728,0.758800563,0.235992001,12.80975928,4.22937816,19.26490869,15.62289704,0.091785478,1.427357192,0.385291896,0.022318782,10.73672609,0.147268698,9.56E-08,7.00E-08,0.10401033,0.379364467,0.150911041,0.151818297,1.05E-07,1.22E-07,0.066626774,0.209410603,0.488578568,0.509256397,-2435.977272,3.599452425
0.978815511,0.20419782,4.007843454,4.00413682,2.887195688,2.04733474,3.866944638,4.46361252,1.308163541,0.835979905,0.105110559,39.63442391,54.86656796,3.97328509,5.593904705,0.122603849,2.630309808,0.465980443,0.180386427,9.634444037,0.221753923,1.02E-07,7.17E-08,0.120520243,0.373494326,0.117614731,0.101697251,5.24E-08,6.53E-08,0.064919235,0.20723111,0.471054743,0.428631874,-2385.611305,7.402945414
0.978815511,0.143847462,4.721949974,2.830862208,2.760830856,1.891394138,3.590857928,4.438656032,0.347795761,0.855753749,0.08647029,12.3577346,2.074442864,30.2634118,3.639082097,0.229765345,1.424321722,0.844831575,0.092063022,0.836821909,0.16101249,8.44E-08,5.48E-08,0.167330944,0.333732212,0.128395616,0.125722708,3.95E-08,9.60E-08,0.083805755,0.194373974,0.416329391,0.469306768,-2448.869141,0.477433873
0.978815511,0.176489075,3.131289603,3.165438889,0.12691965,1.904131253,2.910719303,4.693714035,3.032607174,0.94775821,0.174304081,24.54039153,27.49289778,2.077192709,1.845906217,3.768457774,12.13272397,0.654945691,0.024344609,0.330448954,0.200766291,7.89E-08,8.68E-08,0.063175878,0.454448512,0.138093971,0.090760247,6.40E-08,1.28E-07,0.052754744,0.209903321,0.522427936,0.439507671,-2370.239917,2.456133154
0.978815511,0.114913553,4.479994993,2.311392175,2.625199736,2.244566766,3.566226746,4.285542061,4.919990849,0.86743013,0.045975287,303.360049,42.15710184,4.043635971,2.671426846,0.687572982,1.261100513,1.408080791,0.286792557,0.409593722,0.129232301,5.64E-08,7.91E-08,0.115768767,0.455883634,0.141067116,0.100768277,6.17E-08,7.83E-08,0.05727963,0.221263442,0.417123774,0.365063882,-2371.113629,0.388650477
0.978815511,0.123462776,4.371695172,4.012473056,3.371472768,3.752691209,4.417540888,5.097350996,0.949374073,0.934359692,0.032449914,34.92259643,68.06923153,3.76110977,6.048992399,1.382647066,3.4809217,1.555644238,0.162334993,0.039251895,0.128717334,8.57E-08,6.65E-08,0.135758412,0.413139803,0.129029698,0.117735401,4.36E-08,8.20E-08,0.075619073,0.460444929,0.458532596,0.473369852,-2362.028769,0.192251037
0.978815511,0.096826336,5.329323608,2.658245628,3.012870866,2.577179315,4.650376653,3.662321309,1.30730181,0.915593701,0.084540393,4.999215032,9.313563046,1.939032842,5.009243716,0.087153887,1.318473081,0.606993928,0.246036718,15.78770812,0.212500468,9.94E-08,1.15E-07,0.178300983,0.275366206,0.13179117,0.152940084,7.17E-08,6.51E-08,0.049100738,0.268286791,0.545912069,0.363657306,-2401.628989,2.419041973
0.978815511,0.145851564,3.355888064,2.829699958,1.147289764,2.745902397,2.737336868,4.988158095,3.340659863,0.84870202,0.058789667,50.66977854,24.22340277,3.200525077,2.430175115,0.890822942,1.242392277,1.298402429,0.109398388,1.255055284,0.161274046,7.27E-08,4.10E-08,0.137759147,0.31598449,0.167085184,0.118341129,4.64E-08,8.94E-08,0.099555754,0.192868887,0.397654624,0.550929373,-2375.926197,0.841340981
0.978815511,0.16293443,4.616443108,5.743982612,2.969391431,4.848096014,4.830281061,7.336084192,9.501846092,0.969914182,0.134583234,53.21388293,40.02730482,0.601616137,0.152767661,0.077692336,0.487504014,0.501416606,0.275012067,1.08605359,0.128186793,1.09E-07,6.67E-08,0.146705293,0.297668959,0.125643966,0.201033577,7.72E-08,1.39E-07,0.10076102,0.958477733,0.655866867,0.562168731,-2399.945483,0.364071794
0.978815511,0.099700158,4.610015829,3.281140117,2.391408542,3.592859195,3.701719632,4.952227558,2.966523177,0.940641551,0.120225204,6.137736893,17.38359498,0.619044373,0.391462979,1.582205637,3.254548158,0.389861586,0.058156031,2.385635774,0.177405514,8.16E-08,7.65E-08,0.190362395,0.285582432,0.13011256,0.094617159,9.57E-08,9.05E-08,0.121919596,0.488840986,0.50370465,0.397062653,-2373.694844,1.284597077
0.978815511,0.14727428,4.803538083,3.181127881,0.130525337,2.092617904,3.243619477,3.047375892,0.815569933,0.789173132,0.170623191,29.55504666,146.0956959,5.606348546,10.4304716,0.367707781,2.984727244,0.520488291,0.007662949,0.628733817,0.092602648,1.23E-07,9.13E-08,0.104205371,0.374176389,0.173550341,0.144284398,7.42E-08,7.18E-08,0.111180493,0.323104009,0.57473269,0.400956833,-2351.954694,0.968675719
0.978815511,0.05936992,4.770206621,3.093127847,2.934398845,3.595401997,3.735963573,4.476942881,4.364940021,0.884057155,0.046290876,28.07141166,29.60147013,2.87810738,2.71559608,0.432409173,1.411189407,0.65155605,0.185408712,3.086170195,0.066636361,7.51E-08,5.85E-08,0.178873035,0.381369289,0.149150351,0.169782955,5.78E-08,1.05E-07,0.054187712,0.343840722,0.576621716,0.352486668,-2358.878982,1.006547857
