c2,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0,0.064397107,4.501697979,3.824337323,2.591854199,3.527018016,3.05330599,4.808814398,1.962118219,0.817880797,0.064101604,34.23997264,210.2910062,1.851198761,3.920873241,0.171942586,0.708151242,0.122845786,5.527534159,0.277710896,0.17799771,5.42E-08,6.14E-08,0.163644165,0.323667335,0.139244089,0.116217178,5.74E-08,6.99E-08,0.07922928,0.413625034,0.519281754,0.257944595,-2401.336527,1.019979743
0,0.051654544,6.412246323,4.965878776,4.519892871,4.879204909,5.405986731,5.486084772,1.051737972,0.941370476,0.122287654,268.3937383,73.09503676,3.750477746,4.08438021,0.689237238,0.257808532,0.274071687,17.42389784,2.245700944,0.202180698,7.35E-08,6.77E-08,0.182649652,0.279530884,0.126300128,0.154802842,6.24E-08,8.69E-08,0.054535505,0.757528036,0.678786493,0.345597603,-2410.663478,7.15423645
0,0.080039469,4.79282818,4.305587308,3.248039678,4.185535182,4.013569312,4.678033178,1.021157604,0.866212898,0.056468868,10.89613638,21.87561265,2.669364475,4.193723727,0.443970832,0.636640172,0.080602205,24.09826733,1.612118889,0.172422025,9.71E-08,6.14E-08,0.171161672,0.328639374,0.151382721,0.110345935,6.14E-08,6.71E-08,0.066047986,0.317196157,0.766874321,0.295040038,-2359.117232,0.598085441
0,0.089535206,4.781373356,3.899868913,3.222584931,4.090913502,3.706780137,4.718625602,2.846609757,0.8389328,0.043850586,138.2989301,578.7411181,2.368519326,4.373609519,0.075936838,1.222612799,0.080748047,8.437968041,1.538573849,0.091323903,7.46E-08,6.09E-08,0.132978881,0.438256217,0.16146824,0.096777655,6.71E-08,7.77E-08,0.079194824,0.49396828,0.563111712,0.481390029,-2392.115663,1.576667237
0,0.048759437,5.615754191,4.928665458,4.213287744,4.985377912,4.707038219,5.194024672,3.397474171,0.916064334,0.068679526,25.73822844,188.6715403,1.254275556,2.765963518,0.186964759,0.306407474,0.097156044,5.23677437,1.372844043,0.11787231,8.97E-08,4.22E-08,0.175695678,0.341436924,0.14745892,0.14425848,6.87E-08,1.09E-07,0.073277379,0.424235898,0.613706832,0.368862061,-2370.397966,1.159199823
0,0.065222926,5.192399497,4.015706787,3.667059848,4.356449809,4.307574698,4.764729714,3.234633761,0.909745484,0.055224914,17.98841644,10.88223577,1.99558939,1.369847426,1.003374125,0.432742405,0.097922159,1.953476044,2.175755818,0.182766138,6.72E-08,5.13E-08,0.208363104,0.324236122,0.106949337,0.076146135,5.39E-08,1.02E-07,0.101538889,0.429863253,0.442695833,0.587737371,-2384.550613,1.179034856
0,0.066640915,5.502916176,3.999168258,2.418668399,3.114353364,4.184738042,4.270089161,0.718271762,0.886407929,0.118113899,19.56659682,49.04808236,3.789837051,5.705918911,0.219889209,0.656626258,0.337722274,3.378021086,2.940034678,0.246550039,6.26E-08,3.90E-08,0.078071294,0.401150181,0.113778996,0.098911555,7.34E-08,9.13E-08,0.061537668,0.427141175,0.484259135,0.393309331,-2417.224495,2.93140647
0,0.077681967,4.42970754,4.349786647,1.592776113,3.757485037,3.196102893,4.740663829,0.807369976,0.835839171,0.060445014,6.609940093,71.71188282,2.358163168,7.1921025,0.364371093,1.148582559,0.061759331,1.870118103,21.75836111,0.081304067,8.57E-08,6.84E-08,0.219354158,0.335330885,0.129553608,0.14635822,5.58E-08,9.84E-08,0.088098754,0.39333845,0.532043145,0.337604014,-2376.99951,1.596207342
0,0.071274338,5.689741655,4.801156339,4.117809786,4.575969511,4.872683833,5.071388079,2.073671101,0.914804578,0.088865563,4.323313086,21.88995825,0.697570996,2.085912921,0.122393745,0.338363914,0.121987392,8.106871122,4.594345467,0.125586256,6.05E-08,5.11E-08,0.178302326,0.391893406,0.098183109,0.142425339,5.55E-08,6.66E-08,0.063609332,0.408886576,0.567513121,0.383620115,-2339.54424,0.420847579
0,0.048637126,4.811259384,4.807233777,3.589675361,4.615542045,4.040825238,5.145992858,0.647059956,0.872740218,0.029899056,63.83104086,29.46451974,8.809318522,7.135527093,0.397030871,0.992993991,0.066928154,1.744581584,1.664289322,0.126044218,6.55E-08,8.22E-08,0.250227562,0.341250338,0.116970625,0.089141243,7.97E-08,6.43E-08,0.076365722,0.408916929,0.490354487,0.31738291,-2409.173237,0.659022535
