xi,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,c2,omega,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0,0.114699669,4.221652976,4.062218506,2.737394223,4.719310266,3.370213356,5.527789426,0.911820323,0.848208839,0.055451749,76.14414388,26.97749518,5.022055749,3.062754018,0.141796491,1.562142843,0.899789112,13.34609959,9.965074167,0.121027664,8.48E-08,5.35E-08,0.186665003,0.278843585,0.215718062,0.135068503,7.81E-08,7.38E-08,0.062676893,0.184689407,0.449710207,0.351548299,-2406.283814,10.55801611
0,0.120595055,3.502706344,2.306548385,0.805960944,1.805052999,1.442959792,4.27516989,0.859456154,0.798287113,0.276313907,224.6971286,6.819785845,13.15186679,4.078513346,1.272718215,4.253909959,0.29205669,7.409616313,21.76781979,0.136134153,1.23E-07,1.09E-07,0.098969713,0.327172499,0.226294263,0.16200616,7.49E-08,1.22E-07,0.049422784,0.36092734,0.600460136,0.410706441,-2363.899963,0.462642017
0,0.111660547,4.852617879,1.223988374,1.243645292,1.158709831,3.640700998,2.346302689,7.559304529,0.801295385,0.08955574,112.0799774,113.8288945,2.417206988,2.5971294,1.183326277,3.607347747,0.828160491,3.097402068,127.2395611,0.150573583,7.53E-08,2.98E-08,0.136486871,0.36423108,0.155769743,0.122180852,6.52E-08,9.29E-08,0.070757608,0.297683278,0.548718799,0.454142199,-2375.285889,3.413982015
0,0.113119983,3.691080608,4.312369023,0.702410073,3.532031413,1.386530906,5.522103324,0.901008731,0.838799324,1.090055445,23.50458241,8.515607371,7.30643149,4.430601947,1.394187098,1.353118421,0.067136091,1.653663677,1.875710606,0.239581766,5.63E-08,3.82E-08,0.115830601,0.31604177,0.126031841,0.134019514,8.46E-08,7.08E-08,0.068494258,0.166896482,0.475107347,0.561824606,-2408.040888,0.631489506
0,0.150823764,2.931068517,1.345299879,1.008780377,0.955249512,2.484138422,2.910795534,0.513553923,0.856269042,0.051742752,176.5680075,6.62867719,30.99994046,8.534889319,4.583693769,13.36923281,2.164011773,10.2101178,10.68530272,0.073672922,6.30E-08,7.29E-08,0.173074556,0.364211115,0.171465006,0.122028128,8.57E-08,7.61E-08,0.095547976,0.505725045,0.587945115,0.411908166,-2386.174548,0.830831772
0,0.157554656,6.970320536,2.215779279,2.975300446,3.740506024,4.015052622,4.229863555,0.585629999,0.828257847,0.070067264,17.03330174,52.28956511,11.75700181,22.57883719,0.077495383,3.231935474,1.001809556,21.49292498,1.120954286,0.234271549,4.76E-08,6.77E-08,0.130807418,0.312531697,0.157680774,0.115790507,9.23E-08,1.12E-07,0.048917735,0.452507303,0.345791566,0.286840398,-2388.402551,0.614749052
0,0.105871908,5.024658882,3.096329082,2.208202609,3.06804166,4.094756698,3.946171578,2.902048272,0.878594013,0.102189428,1260.831081,69.09850198,4.571750214,3.168192818,0.430961315,1.133320652,0.654933325,4.021869428,3.180285774,0.080082393,9.31E-08,5.36E-08,0.139964215,0.409632324,0.154671198,0.141513539,5.82E-08,1.12E-07,0.074136014,0.279985146,0.450903709,0.565866055,-2350.031287,0.49136817
0,0.144781316,4.199896683,3.783546198,1.03854412,3.149197279,3.10015939,3.974980302,3.994664592,0.792739013,0.167725396,55.08277752,1048.383678,1.921503384,4.181595345,0.313460042,1.083954293,0.496619267,33.81649974,0.060178307,0.137456424,7.89E-08,1.05E-07,0.089144653,0.483472861,0.105981592,0.091891693,5.29E-08,6.82E-08,0.092052472,0.353847969,0.569104114,0.300886156,-2362.973422,1.22972864
0,0.117716198,5.007037967,3.003624185,2.051813066,2.262473742,4.249452078,3.844810651,0.887108453,0.872795795,0.056533399,7.756226142,143.8070956,2.720697761,8.50041113,0.303623521,1.615068619,1.298723978,1.691960298,0.589269774,0.109350443,5.87E-08,4.29E-08,0.163252609,0.394766069,0.132072824,0.120913771,5.96E-08,5.37E-08,0.079644069,0.311674853,0.475524439,0.445639442,-2343.781638,0.640994071
0,0.116072906,4.950617436,2.692565781,2.222093258,2.605854848,3.633128703,3.803927461,0.510312149,0.834689615,0.112801629,18.61834726,174.0889922,10.70979538,23.98187632,0.780125755,0.928465338,0.526434251,13.65845022,4.615683421,0.171020097,1.46E-07,6.25E-08,0.074197058,0.396480835,0.154605365,0.15761212,7.33E-08,5.87E-08,0.046084185,0.395184643,0.473584615,0.424884379,-2338.118096,0.47751542
0,0.143714456,4.563645711,3.202081158,1.426156884,3.167262964,2.388897269,5.314374876,4.422002911,0.8409177,0.142288365,1115.018917,78.33513446,3.735359565,2.749616052,0.34389971,0.521790794,0.56020987,8.383460157,2.26078057,0.123962639,6.85E-08,8.03E-08,0.148203754,0.447987163,0.120155749,0.10417746,3.11E-08,1.12E-07,0.055512944,0.388215282,0.691344929,0.590759852,-2374.155344,0.481897005
0,0.12415698,4.862029314,1.064446378,1.170960728,1.707305256,2.800505486,3.228781424,6.885670017,0.810588787,0.096147613,82.86467402,56.32035382,3.291212505,2.244683015,0.984388829,2.727862287,0.781532509,1.942513081,4.00368274,0.124834322,4.12E-08,5.59E-08,0.18364763,0.406480158,0.1093411,0.143095098,3.45E-08,6.72E-08,0.032601493,0.270538109,0.516735145,0.491343136,-2364.884798,2.252364534
0,0.148229771,5.364847611,3.006365602,1.586137707,1.612046898,3.427327138,4.005366114,0.423853274,0.796350781,0.182937674,12.31025632,421.8945726,17.33606812,57.85148224,0.076224553,3.526512538,0.614450615,30.53518786,18.43545799,0.07154614,8.66E-08,1.03E-07,0.133532484,0.401048597,0.185110358,0.161628925,8.36E-08,4.30E-08,0.047133179,0.38621677,0.399738621,0.455515512,-2356.786679,1.16770361
0.051282051,0.134167205,5.223195638,2.444363704,1.165840646,1.469938082,3.247368863,3.023830386,2.399166093,0.780899991,0.048771916,2.071052112,139.9544637,0.881899563,4.41312234,0.096339844,1.910165001,1.78430175,1.814486356,2.078189888,0.194620693,4.01E-08,2.73E-08,0.069799031,0.439664032,0.128524138,0.097482875,5.38E-08,4.66E-08,0.069909065,0.201218759,0.605414824,0.304866572,-2381.840725,0.296821444
