L2,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
10.10526316,0.085378395,3.520359442,3.069220638,1.585678726,3.415304075,2.945162314,4.419563871,1.53625789,0.887091798,0.052902587,19.03124905,4.294475079,1.479233674,1.682366657,3.746164669,0.79768432,0.183769733,8.648368742,2.740439817,0.118107134,5.65E-08,3.88E-08,0.098563046,0.425559487,0.153117357,0.094235921,6.44E-08,7.50E-08,0.110416821,0.349313794,0.543055225,0.29557224,-2389.443658,2.763959183
10.10526316,0.113263495,5.205084082,4.097774067,2.947836639,3.362146982,4.518903005,4.49693235,3.001567327,0.858732904,0.13475636,6.811696239,1.45617348,1.776485189,0.109535418,0.097531518,0.363863942,0.015786519,5.146432173,0.147638807,0.204991858,7.41E-08,1.03E-07,0.113879371,0.363768759,0.142050249,0.128514951,1.09E-07,9.44E-08,0.046794431,0.306750765,0.566445054,0.360431844,-2340.598262,0.929488405
10.10526316,0.116999718,4.374270342,4.685252047,3.411136659,4.737784425,4.411044004,5.588494101,0.683286316,0.894828675,0.041905465,31.59534327,17.65959845,12.59682411,0.218826827,1.313348149,0.741009899,0.061432611,6.162355877,17.64776192,0.152383892,6.52E-08,4.11E-08,0.115598146,0.413522659,0.161451524,0.075335916,5.24E-08,8.49E-08,0.081707619,0.444126581,0.426736606,0.438557064,-2357.602725,4.020685962
10.10526316,0.177280431,4.028775397,4.811718684,1.748978532,3.914670445,2.977662049,4.499550006,0.330358896,0.854281458,0.093904654,39.18293798,24.50135684,1.253574423,0.46316661,3.075158921,0.61350782,0.255672704,0.700683493,11.82919851,0.14212063,4.73E-08,6.36E-08,0.186556194,0.266495978,0.166831617,0.140764655,6.27E-08,9.61E-08,0.097230656,0.42397249,0.414480203,0.370724489,-2617.099104,1.467993716
10.10526316,0.055589544,5.239414444,3.433113253,3.234190617,3.679553211,4.170240882,4.8348029,1.486934219,0.925158973,0.105688681,10.56846168,2.258584373,2.070238877,1.319722598,1.537618117,0.257017298,0.039642473,0.743243356,1.909252415,0.048763986,4.69E-08,4.88E-08,0.192614034,0.486981636,0.121228497,0.092419396,7.15E-08,8.11E-08,0.057992204,0.437979185,0.471867482,0.520751113,-2372.086936,2.700691747
10.10526316,0.096817277,5.384341642,3.874448887,2.709567159,3.439574044,4.628265324,4.66400109,0.384538916,0.936043438,0.056536596,8.232270353,7.175409403,1.18520787,0.037867443,1.015742632,1.267725586,0.108623859,4.394593975,5.278542522,0.151268064,8.04E-08,1.15E-07,0.170230005,0.32797227,0.152654389,0.117096446,4.81E-08,1.31E-07,0.08077845,0.381434484,0.540543411,0.426549402,-2389.813286,4.552461839
10.10526316,0.061432287,4.713221655,3.775867721,2.823266292,3.4004,3.857968657,4.259566728,0.278080615,0.820890869,0.060580338,23.41415709,64.23794962,42.70407806,0.077817516,1.4398044,0.327057114,0.03984926,0.559043216,1.832390116,0.137513697,8.43E-08,3.95E-08,0.176944892,0.375494646,0.130386303,0.113187292,4.94E-08,9.64E-08,0.066472901,0.446571623,0.456959394,0.539443934,-2469.038519,0.497301508
12.63157895,0.250217347,7.430560406,5.348292574,3.710358094,3.072494344,5.916205897,4.829940796,0.651993375,0.915049473,0.223516351,361.7319277,7.724000337,0.52230064,0.650435146,3.402900041,0.639255876,0.040222249,0.763365542,0.753671347,0.152966342,9.20E-08,5.74E-08,0.16392408,0.299939758,0.151888492,0.142177708,8.56E-08,9.85E-08,0.089103286,0.66170791,0.584931704,0.527473107,-2489.779437,3.157585831
12.63157895,0.055159262,4.626697846,3.223677479,2.149479166,3.246139823,3.434544316,4.219949053,0.816402502,0.855876491,0.085293603,7.854520004,3.545283871,5.004157428,0.478758725,1.128745839,0.520908968,0.028977006,0.411335294,25.47189606,0.214379554,6.30E-08,3.80E-08,0.098856128,0.338234342,0.169140152,0.087506527,3.96E-08,5.98E-08,0.091883096,0.416420317,0.503849738,0.498424509,-2378.213392,3.503661938
12.63157895,0.105281095,3.894293137,3.60688806,2.081520608,3.44472938,3.764946572,4.3311369,2.271903512,0.904437796,0.04396694,11.14761502,2.753125098,2.518842847,0.176145114,1.948859452,1.130982838,0.622434489,3.764244312,1.345484339,0.185402341,1.23E-07,6.59E-08,0.15535036,0.236382653,0.214483585,0.140552194,1.15E-07,8.67E-08,0.067828478,0.262709159,0.532215971,0.339327704,-2366.254762,1.763015576
