theta,sigma,b1,b2,b3,b4,b5,b6,alpha,D,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0,0.248824775,10.21738893,5.354661902,3.485193301,2.891025306,3.937894273,5.889561092,0.729685698,0.714693336,787.0048093,157.0354141,23.98849555,10.10494884,0.203435678,2.732449503,2.148563228,0.024057622,0.954149663,38.31224896,0.107077017,9.09E-08,8.25E-08,0.131132901,0.388787483,0.112665024,0.168304919,1.14E-07,9.90E-08,0.092032269,0.223542978,0.730765897,0.531866126,-2457.820775,0.57941113
0,0.252514945,6.939303777,8.938344859,1.006736309,6.45107341,2.437138036,8.625883312,0.819446593,5.750596763,273.356557,36.31049117,23.21092422,26.27653525,0.031895702,0.454915391,4.981286723,0.051764018,3.373999962,1.524536929,0.073978471,8.76E-08,5.47E-08,0.183572039,0.377156413,0.141691308,0.142056621,6.47E-08,9.90E-08,0.081544842,0.111804399,0.484566069,0.686939554,-2492.914232,2.309354528
0,0.131350315,3.877544118,3.144771388,0.268899851,2.071153439,2.375088294,4.789693371,0.85864385,0.191820852,6.269693029,22.13579206,10.2913943,3.025348227,0.559774788,33.69407286,0.558670413,0.218150999,26.01371511,52.52746291,0.147962346,8.33E-08,7.23E-08,0.264400238,0.236244762,0.126642405,0.123111336,6.38E-08,5.26E-08,0.101638642,0.636383706,0.827419971,0.629510153,-2439.736982,3.9056866
0,0.046993604,4.862638341,3.736579776,3.531774572,4.370693981,4.103562688,4.741907948,0.924989669,0.018977044,4.328015017,9.63951472,36.38577571,1.172226246,0.6175468,1.444886377,2.210289695,0.728472252,25.77298672,1.007610963,0.098271286,6.96E-08,1.06E-07,0.205370184,0.297995008,0.121024047,0.169416843,3.87E-08,9.12E-08,0.107922327,0.616706113,0.871080451,0.64020719,-2391.933448,2.198422064
0,0.218355464,7.147681241,2.861483173,4.088103028,3.889332795,5.500037308,4.226038241,0.916803362,0.204539127,247.1826096,29.05821215,267.3787254,4.878260909,0.101729795,4.658657388,0.310820704,0.041738229,1.277278215,2.321817538,0.138468791,6.87E-08,4.61E-08,0.189833206,0.338201906,0.160044398,0.084113624,2.92E-08,1.20E-07,0.089337813,0.764546458,0.580117202,0.79791331,-2444.651431,0.844999168
0,0.25190077,8.74578613,5.348292499,2.393253671,2.567182865,3.546948179,5.245002141,0.748133109,1.368784963,512.842378,34.20812339,4.29740427,48.81558022,0.694495523,3.854631344,2.385335223,0.092661707,5.970452976,0.254832934,0.172352127,9.79E-08,4.60E-08,0.138124558,0.219687122,0.167427798,0.190056409,1.07E-07,1.15E-07,0.11235162,0.235310494,0.663011045,0.468197686,-2460.579794,7.862471996
0,0.068556105,5.304027537,3.852157233,3.806831921,3.753242539,4.725922801,4.95106604,0.933401618,0.145306849,5.806847137,10.74736818,1.61478084,1.035139401,0.234023056,1.99779004,0.287274295,0.046529229,2.016855624,0.555062159,0.157124482,1.65E-07,5.57E-08,0.233808655,0.261954131,0.140731354,0.142237527,4.08E-08,9.95E-08,0.06414349,0.846598439,0.611871985,0.347406714,-2369.381257,1.181695102
0,0.11266458,4.605111091,3.815604776,2.081408572,3.127380468,4.009074463,4.637245481,0.897224408,0.138631354,3.630790684,12.06600302,55.74343546,2.718499174,0.186479923,1.503664411,0.685212543,0.093596005,1.119539771,1.942776345,0.171048457,5.90E-08,6.81E-08,0.161699441,0.322233986,0.170668417,0.099276319,8.25E-08,9.61E-08,0.075073073,0.363864428,0.656866996,0.566531488,-2376.826743,0.832450524
0,0.2284774,9.118531734,6.384018562,3.419616572,3.444837218,4.686839656,6.508093835,0.934522839,1.170002163,152.158976,52.20351723,2.399080784,14.68569568,0.063867254,1.936153588,1.883049711,0.021610965,5.060934504,9.255213921,0.113350209,9.16E-08,8.41E-08,0.180570827,0.40404206,0.183359374,0.070905903,3.53E-08,9.99E-08,0.047771316,0.124022061,0.590849073,0.555983078,-2461.753612,2.640065852
0,0.215282989,10.04690441,5.179938097,4.677714127,5.435365571,5.565802179,6.716129139,0.96515297,2.038018005,218.4765911,149.3106169,47.462132,4.546997164,0.073202704,1.227714248,2.052339708,0.10167166,4.026045334,4.058131218,0.147953387,5.33E-08,7.19E-08,0.183206487,0.389661307,0.12155076,0.097545786,3.52E-08,5.67E-08,0.060082056,0.092162161,0.856740139,0.451136624,-2461.752534,0.573723876
0,0.242193676,6.874061684,5.176095017,1.321297804,0.763224184,1.841615367,4.530892219,0.648467175,0.722799951,39.15709875,21.95161609,2.96869505,4.018299749,0.066014943,13.57638839,2.352568895,0.020531531,4.112646435,6.331400136,0.214351516,8.14E-08,5.00E-08,0.217039214,0.239327993,0.169380711,0.11733718,5.66E-08,9.14E-08,0.042563108,0.360372396,0.639897344,0.589183453,-2475.714621,1.088399137
