c1,c2,sum.H1N,sum.H3N
0.5,0.9,9.50096235,6.29497755
0.5,0.95,9.70994005,6.4830799
0.5,1,9.74583255,6.49530595
0.55,0,8.83624625,4.6290301
0.55,0.05,8.9075147,4.6722418
0.55,0.1,8.9406627,4.7803643
0.55,0.15,9.10459,4.8921691
0.55,0.2,9.1778025,5.0309378
0.55,0.25,9.2618549,5.15624775
0.55,0.3,9.43942375,5.29477015
0.55,0.35,9.3702528,5.31419705
0.55,0.4,9.5856915,5.52732535
0.55,0.45,9.56093355,5.5548857
0.55,0.5,9.5930297,5.73443695
0.55,0.55,9.6679563,5.78586195
0.55,0.6,9.74211915,5.9999825
0.55,0.65,9.8143135,6.05829235
0.55,0.7,9.9982875,6.3285773
0.55,0.75,10.07828055,6.3348211
0.55,0.8,9.9435848,6.3847238
0.55,0.85,10.20328795,6.48422385
0.55,0.9,10.2080832,6.7189532
0.55,0.95,10.14556545,6.77652745
0.55,1,10.25645285,6.7859074
0.6,0,9.3912158,4.8268195
0.6,0.05,9.51925015,4.95255405
0.6,0.1,9.4786513,5.00875125
0.6,0.15,9.67043485,5.1748004
0.6,0.2,9.8078483,5.29396195
0.6,0.25,9.9020315,5.41667915
0.6,0.3,9.8481468,5.43376575
0.6,0.35,10.0679409,5.6982195
0.6,0.4,9.90209275,5.71892285
0.6,0.45,10.0035357,5.84377255
0.6,0.5,10.14166045,6.01436075
0.6,0.55,10.2498591,6.0850918
0.6,0.6,10.36068735,6.24285955
0.6,0.65,10.32773485,6.37480875
0.6,0.7,10.315825,6.46481245
0.6,0.75,10.4911569,6.6075138
0.6,0.8,10.5429629,6.6219467
0.6,0.85,10.6323053,6.7689606
0.6,0.9,10.5914409,6.9613517
0.6,0.95,10.7432755,7.1293838
0.6,1,10.57779065,7.0136033
0.65,0,9.91976205,5.05150815
0.65,0.05,10.00976145,5.1182074
0.65,0.1,10.04116335,5.2919723
0.65,0.15,10.1657442,5.47264235
0.65,0.2,10.24554675,5.60419585
0.65,0.25,10.2343643,5.552524
0.65,0.3,10.42960735,5.73569195
0.65,0.35,10.4256067,5.916698
0.65,0.4,10.51284475,5.9892909
0.65,0.45,10.5231814,5.98427245
0.65,0.5,10.5951821,6.0994479
0.65,0.55,10.6694922,6.3704681
0.65,0.6,10.64565585,6.43547155
0.65,0.65,10.8428439,6.6207283
0.65,0.7,10.8013831,6.71919275
0.65,0.75,10.81351725,6.74321795
0.65,0.8,10.91224195,7.03418195
0.65,0.85,10.994612,7.1213091
0.65,0.9,11.0494866,7.20233585
