omega,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,c2,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.050632911,0.148911647,5.502156935,5.496043925,3.123494522,3.554605492,3.428865999,5.135169915,0.380169606,0.639039131,0.268327427,206.7585891,283.0636509,31.3732674,42.62130862,0.122788693,1.206063279,0.028923959,24.93314124,0.361281829,0.09190572,1.04E-07,7.21E-08,0.078811697,0.486562828,0.120916139,0.120400453,4.61E-08,8.31E-08,0.101402858,0.414522563,0.738881334,0.435490504,-2552.418746,2.199910251
0.050632911,0.205403757,6.217277614,5.803704962,3.188057851,3.964833183,2.691291117,5.525781854,2.476842117,0.564478498,0.112146083,174.6665728,228.8558457,1.824833028,3.343375359,0.009955003,2.556478276,0.030704716,14.974857,0.593146284,0.16171383,8.28E-08,4.60E-08,0.174730402,0.280462848,0.172240825,0.123434442,6.40E-08,8.55E-08,0.087417375,0.479911057,0.673418828,0.592152861,-2481.681038,0.98811497
0.050632911,0.256061104,6.3643262,2.644686572,3.831409495,1.740434854,4.768340886,4.554371512,1.305979457,0.515784877,0.07403124,53.42307985,58.21521495,0.555565044,4.949427996,0.936345893,3.46257185,0.022891891,3.641927787,9.359467623,0.098147432,7.07E-08,4.30E-08,0.166304204,0.365640469,0.148939492,0.141136004,5.06E-08,6.85E-08,0.079832166,0.81511932,0.803905561,0.294538243,-2464.970374,4.515348238
0.075949367,0.02226722,6.958938248,6.808680458,5.529280037,6.417873614,5.902769056,6.349097823,0.966807558,0.945742044,0.062066048,3.833494143,252.3415202,0.459009279,5.68519413,0.1872577,0.592124193,0.405012492,2.50313473,55.70181686,0.200012073,5.64E-08,7.45E-08,0.064981438,0.327454261,0.162134978,0.132972705,8.82E-08,9.64E-08,0.112444229,0.391418157,0.830193114,0.411413719,-2417.652408,2.512402969
0.075949367,0.215210436,7.948696407,7.755365067,5.281998009,5.365871048,6.354306776,4.644099727,0.539902153,0.769315324,0.061509544,749.658509,69.97692681,12.17602156,11.04985861,0.182902328,0.719114285,1.540946222,0.977682225,0.259550909,0.159640875,9.59E-08,3.43E-08,0.117972464,0.463156167,0.100508262,0.112540305,3.92E-08,5.26E-08,0.046181706,0.663352332,0.75353581,0.6226289,-2492.988605,0.733263119
0.075949367,0.137338715,6.87568612,4.138578868,2.824027845,2.789914966,4.012889697,3.527039725,0.245645973,0.546915739,0.234460653,285.0289662,47.55453027,14.77629894,93.75404399,0.037933476,3.468163394,0.024661193,3.1682008,1.647878949,0.108204131,5.93E-08,5.86E-08,0.111905782,0.448346448,0.145959497,0.110128599,9.63E-08,7.36E-08,0.075455255,0.405723399,0.827521634,0.324903942,-2449.767987,1.361182921
0.075949367,0.017005155,6.231264109,5.457600879,4.98930397,5.094200691,5.41170677,5.717323623,1.798536451,0.907260892,0.206079071,6.680441976,26.52933492,1.398811219,3.188986423,0.187465722,0.447812897,0.002198937,22.95708801,0.702198848,0.179520202,1.30E-07,5.72E-08,0.143817673,0.306121622,0.167381691,0.131063424,7.15E-08,5.96E-08,0.072095069,0.436065528,0.636440476,0.460715333,-2486.521723,0.646433567
0.101265823,0.074519903,4.638603212,4.230159253,3.056138054,3.645111819,3.763622121,5.04892309,0.530472617,0.903143014,0.327683692,79.45641568,44.43857192,15.86546202,18.27530803,0.974223824,1.681758587,0.008016571,3.528028103,4.551409543,0.199904135,6.35E-08,6.99E-08,0.142439414,0.304764171,0.143320726,0.162609483,8.82E-08,1.17E-07,0.046961733,0.477154899,0.592176771,0.511268322,-2359.956349,0.372370825
0.101265823,0.065552191,6.211055132,5.407043699,4.788936731,5.123266824,5.515103973,5.716495035,0.937032103,0.90377176,0.054056362,23.33448111,19.14263075,6.163537898,6.437584098,0.13199469,0.283038263,0.085638408,2.505611425,0.144038766,0.199557984,8.61E-08,4.15E-08,0.137219193,0.38306529,0.129258404,0.098153052,4.35E-08,5.60E-08,0.05274585,0.230271138,0.691975524,0.284211888,-2345.618539,1.884024267
0.101265823,0.103888097,6.545242872,4.928551851,4.208018118,3.886556512,3.58754851,4.781880704,15.61701494,0.620995403,0.071475957,22.63271733,132.44769,0.305002881,1.466558625,0.335735398,1.715390968,0.111972283,67.76728383,2.973025593,0.22455867,6.61E-08,4.46E-08,0.220862851,0.23858609,0.151415244,0.116890906,6.51E-08,9.74E-08,0.047685966,0.636082455,0.793487399,0.336223014,-2444.009042,2.246559235
0.101265823,0.06294169,5.879783012,5.198111442,4.282906926,5.301163323,5.25570821,5.617179336,1.271326954,0.926906269,0.048737157,14.67129447,39.53699919,3.913088787,4.768067197,0.426186876,2.275789489,0.137058343,3.087183617,19.72728134,0.139980633,8.54E-08,5.23E-08,0.18692077,0.320651877,0.15045471,0.096919443,9.52E-08,1.24E-07,0.105072211,0.307266185,0.503408747,0.330813024,-2351.649032,0.542224705
0.101265823,0.152794485,4.429820815,3.872707619,1.906790951,3.582453366,3.399204208,5.471459068,1.021489612,0.929685656,0.612819922,108.7436323,197.1167321,6.456393444,9.428529738,1.313410581,6.154860592,0.003533551,1.705684628,3.512543902,0.15473187,7.32E-08,6.55E-08,0.173585932,0.356133699,0.138100843,0.106111858,5.97E-08,8.50E-08,0.071335514,0.457437669,0.703359846,0.26700261,-2361.005049,0.359300029
0.126582278,0.168360715,7.396433013,6.202396585,3.014330394,2.486449107,3.487159751,3.3710889,0.477793825,0.689521736,0.446756687,18.54598612,133.7142141,6.05021216,16.61764289,0.116977918,1.770458177,0.079596113,11.40958467,0.416854193,0.157649269,6.06E-08,9.26E-08,0.120190554,0.338112987,0.1771449,0.156122599,8.05E-08,1.42E-07,0.050779315,0.195786415,0.626269754,0.405547022,-2461.758156,4.800837419
0.126582278,0.089531622,5.079798772,4.438220844,3.158662588,4.707278683,3.788021631,4.86224742,7.969147036,0.85953959,0.197022054,96.54149162,408.9031922,1.724964196,3.091031344,0.492071566,1.180925796,0.004357912,1.400912948,0.624794446,0.180848512,8.90E-08,4.09E-08,0.149745106,0.375476605,0.147137424,0.099507849,4.68E-08,6.65E-08,0.04728426,0.52398841,0.517268817,0.449493581,-2344.219398,1.423895126
0.126582278,0.109662803,5.573291434,3.10771041,2.908940319,2.669495968,4.121446641,3.885303823,2.630756533,0.860671109,0.538572838,98.41287793,144.9267339,2.833234386,3.994365349,0.203524051,1.695061225,0.001913788,11.49200857,0.907793633,0.152469594,8.47E-08,7.19E-08,0.085757834,0.408009767,0.171223174,0.089266163,4.76E-08,1.01E-07,0.093273163,0.356956341,0.635025841,0.355175577,-2331.525558,0.302803639
0.126582278,0.021173084,5.987345761,5.689114394,4.90983639,5.616032291,5.563879129,6.282218498,3.023900606,0.920944369,0.051205447,25.10290579,6.859007257,2.870735529,1.253181363,0.328259302,0.889030433,0.042588565,7.003905083,2.116631944,0.13453741,5.23E-08,5.64E-08,0.199134694,0.361326566,0.150967044,0.07642482,6.40E-08,9.28E-08,0.077609201,0.406167596,0.680033714,0.343090321,-2452.902248,2.601851437
0.126582278,0.055947855,6.033900216,4.626761339,4.790689852,4.766901102,5.423758336,5.640813425,1.281360847,0.897789637,0.047259691,58.94458573,90.88599396,6.744866364,7.503756094,0.197429953,1.284091823,0.059118861,1.495444235,5.920473526,0.08556894,8.72E-08,4.14E-08,0.17587531,0.292005104,0.216392205,0.159200984,4.81E-08,9.72E-08,0.070957183,0.309136248,0.467823152,0.538603954,-2379.347143,0.803065611
0.126582278,0.072408109,5.020421494,3.546329917,3.167350315,3.207251284,3.703824441,4.440219046,1.3846786,0.861114481,0.307228027,26.65877256,247.4551766,3.263743029,6.400669282,0.350435034,1.563169741,0.002198255,3.428745434,2.343112924,0.164040941,8.46E-08,7.02E-08,0.142447145,0.409498946,0.120066149,0.09119816,5.23E-08,7.39E-08,0.072748379,0.373997653,0.460181437,0.304960787,-2344.944057,0.967609216
0.151898734,0.058335577,5.892665958,4.256230915,4.204497849,4.106832033,4.921445248,4.691062068,0.912073463,0.89542354,0.141034174,44.76023292,71.50003962,6.326743148,8.869417555,0.439292969,1.114805684,0.016360817,12.97296471,0.634132927,0.14361264,5.07E-08,5.31E-08,0.079752361,0.397065149,0.168815174,0.129975228,6.99E-08,8.16E-08,0.080779193,0.27134286,0.668364192,0.337403652,-2363.030073,1.525528957
0.151898734,0.142855403,3.950333781,4.957605274,0.621810349,4.503472256,2.767746029,5.148941533,0.723842635,0.821513429,0.432366591,79.98380773,212.6455372,7.513441317,12.38699352,0.713429631,0.773087112,0.011342817,2.657338682,0.263193743,0.161941881,9.14E-08,3.54E-08,0.108559386,0.487019485,0.104929771,0.090967912,5.25E-08,5.77E-08,0.046581328,0.432989536,0.495820278,0.516108697,-2372.65145,0.391748396
0.151898734,0.070464214,4.238340961,3.210037478,2.580548834,2.714013075,3.283195775,4.014235597,1.43092029,0.818400602,0.23857977,170.4682905,39.90783291,6.620598019,4.342928979,0.677509756,2.534678061,0.003627618,21.37716485,0.38970526,0.260718599,9.43E-08,7.48E-08,0.122746647,0.274532641,0.152224678,0.13612623,6.17E-08,6.63E-08,0.053650908,0.27570368,0.51737169,0.350402699,-2346.720811,0.777402153
0.151898734,0.085365242,5.123579666,3.726918818,3.324882791,3.537320808,4.398495614,4.763224553,2.480634687,0.889569427,0.300810481,24.0015727,53.06770579,1.924602301,2.901166541,0.185530154,0.671481718,0.003378572,6.704682013,1.721173128,0.132626738,6.43E-08,6.00E-08,0.160657632,0.270846807,0.147790957,0.178713796,4.81E-08,9.30E-08,0.109363803,0.361304224,0.527175707,0.301967614,-2329.361797,0.689573819
0.17721519,0.093931942,5.49212541,3.524806049,3.462941038,2.736007509,4.191824912,3.996415657,30.36890015,0.825528178,0.176910477,448.2562821,104.0301528,2.223251242,2.332265646,0.133005251,0.898604645,0.016071624,3.516612403,0.230159509,0.204927372,4.42E-08,6.86E-08,0.059889937,0.3757801,0.133192206,0.14329402,6.42E-08,9.93E-08,0.082916089,0.407316904,0.423784596,0.608309996,-2415.676995,0.691755058
0.17721519,0.09769241,4.418260793,4.102733369,1.833631616,2.507338821,3.709133236,4.121617137,0.559656588,0.857197015,0.381878751,40.31334183,30.40985656,10.48636854,11.90007449,0.73338956,1.673615317,0.017744952,26.92699234,7.532411758,0.070410817,7.58E-08,8.94E-08,0.14062509,0.404709541,0.151961278,0.13529666,4.66E-08,1.04E-07,0.096996299,0.327441192,0.670312494,0.402811958,-2375.178636,0.427985711
0.17721519,0.061844759,5.419118337,5.246067079,4.261361576,4.813559527,4.827440901,5.650628925,2.401166539,0.914451714,0.069963392,11.52780271,20.29987291,0.917342817,0.819083645,0.864667679,1.078579185,0.311474507,0.558719309,3.083427676,0.1795192,6.34E-08,3.66E-08,0.126948831,0.38328966,0.128280859,0.115465519,4.17E-08,6.99E-08,0.066495718,0.384479282,0.514453318,0.486335558,-2381.839472,0.673841128
