alpha,sigma,b1,b2,b3,b4,b5,b6,theta,D,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.5,0.118525449,4.863999072,1.47191093,0.727386561,0.310354377,1.264998484,2.023103671,0.990732314,0.097415508,9.716339897,307.6698381,4.432515229,12.66354246,0.183837208,3.14391909,0.991089687,0.029140886,6.827893423,0.30127804,0.144743931,9.78E-08,7.19E-08,0.117043192,0.308198957,0.15632185,0.202020139,2.93E-08,7.62E-08,0.071671656,0.189648795,0.722844886,0.419806963,-2404.290645,0.4635465
0.5,0.146173432,4.656632673,2.675840233,1.404465965,0.743051157,1.747136802,2.747121173,0.560811155,0.026338734,173.1256879,45.42763504,27.86198604,19.37300421,0.191635774,0.148140688,1.191186515,0.113337456,6.941839348,1.142385837,0.16961317,1.00E-07,5.95E-08,0.159757425,0.303066618,0.152118892,0.125243064,7.90E-08,6.31E-08,0.09020053,0.129239096,0.702368622,0.480890309,-2431.353916,0.508298012
0.5,0.128899907,3.764107477,2.747119471,0.138741545,1.013840278,0.46401384,2.930073459,2.915394132,0.10968883,28.81159885,577.0569979,2.646080954,5.643342208,0.534943854,1.385158473,0.522834614,0.036276292,14.89581182,1.392823359,0.193578565,1.20E-07,5.84E-08,0.146135799,0.344514132,0.150307528,0.102696608,7.57E-08,6.29E-08,0.062767051,0.231367877,0.770229619,0.366930679,-2425.385453,0.513883802
0.5,0.133573588,3.898100602,3.178793862,0.738412117,1.007531904,1.267025813,2.766068138,1.339549648,0.094316496,259.6059214,47.54787016,7.071166893,6.039624814,0.45618269,0.157504124,0.630924441,0.040056331,15.07104446,3.779276416,0.200021681,4.44E-08,7.40E-08,0.056549251,0.426971216,0.138918027,0.113422261,8.91E-08,8.08E-08,0.064117275,0.208040624,0.941568469,0.472339781,-2438.520662,0.400001834
0.5,0.151305509,4.090164779,3.70384467,0.764751286,0.597880467,2.191685411,2.048262172,6.536738521,0.050065409,9.64203005,175.7000416,0.911256094,2.575243459,0.307715468,4.308823155,1.47791928,0.041415656,0.664452328,0.28434378,0.296429263,6.17E-08,6.81E-08,0.070498605,0.345642317,0.149721519,0.100768799,5.72E-08,9.72E-08,0.036939213,0.164552554,0.857483977,0.527542395,-2425.942395,1.049012166
0.5,0.106797737,4.846481892,2.263512065,1.040895815,0.96769839,0.922046762,2.264355233,0.413733893,0.070859285,20.21159412,27.17299218,17.785827,25.91589757,0.078078112,2.143726964,1.323531838,0.049117202,9.554248901,2.211422974,0.137198795,8.31E-08,8.62E-08,0.129033495,0.409796324,0.125306766,0.139910653,4.53E-08,6.45E-08,0.058753688,0.274866422,0.79313984,0.452224405,-2450.217926,0.708652094
0.5,0.109817044,4.033209779,3.011450345,0.472471963,1.226252875,0.87096345,2.572955475,1.437833098,0.120333697,23.75577679,212.0116661,4.067580903,7.651367477,0.27544065,6.163192374,0.543898662,0.157164674,11.08602654,19.7569299,0.194753114,5.18E-08,5.23E-08,0.114478364,0.454495774,0.10191291,0.069793327,6.20E-08,7.86E-08,0.064566265,0.114343834,0.953147126,0.595782711,-2421.748383,1.462160712
0.5,0.106182428,4.326951622,2.250526994,0.14925224,0.576167429,0.7226704,2.049723303,1.705844725,0.2287493,7.61134603,48.17447541,1.487847369,3.93064776,1.090075736,13.33917297,0.46074841,0.028594186,6.38660793,0.619468213,0.170537722,5.08E-08,3.70E-08,0.168709905,0.34381553,0.102119921,0.124332016,5.87E-08,6.66E-08,0.090484693,0.167624167,0.908524348,0.476393255,-2417.359326,0.35235093
0.5,0.098623839,4.86744402,3.619919869,1.388181709,2.131614133,1.934648569,2.773763545,0.460780592,0.093158047,11.8037294,538.2289535,14.87960758,55.29327109,0.573923328,1.674342568,0.562971614,0.029520812,2.837699501,14.60971681,0.174551581,9.15E-08,7.13E-08,0.121066742,0.358866341,0.157219084,0.105128543,6.95E-08,1.50E-07,0.083167327,0.171890876,0.722980211,0.450639449,-2409.136914,0.977824601
0.5,0.160886351,5.014603773,2.031389505,0.3771221,0.393966147,1.588694259,1.977922933,2.497217461,0.073829409,561.5694454,1877.639886,5.571076076,7.803251938,0.223668091,1.477517216,1.005641543,0.24156893,19.41089251,8.635258098,0.169743513,6.76E-08,4.41E-08,0.223942713,0.27396157,0.15229976,0.107003209,5.33E-08,7.75E-08,0.073048994,0.126821137,0.881051352,0.406034864,-2440.138194,1.991931927
