wL1,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.253164557,0.228846676,10.08157207,4.746060582,2.635621466,2.42744019,3.699639691,5.213118254,11.24628267,0.729167082,1.117629731,196.6191614,320.9695708,1.047633686,0.144377463,2.263136265,1.305379328,0.269580788,3.504072753,15.92663082,0.123204911,8.32E-08,4.53E-08,0.093385928,0.496964944,0.116709722,0.097785285,6.04E-08,7.69E-08,0.071948944,0.143368244,0.779962821,0.548639219,-2455.610724,1.2854196
0.253164557,0.210026636,10.00088541,3.681757474,1.949008734,0.677382154,2.763661554,3.507602399,4.221684732,0.720364821,4.136698455,299.8596134,105.7189872,0.862715153,0.15400503,1.962205946,2.127666495,0.027841619,8.148709924,18.00722926,0.207093564,1.04E-07,8.93E-08,0.092457508,0.299271332,0.187132852,0.146551116,6.80E-08,6.19E-08,0.067493305,0.686208463,0.757880689,0.53265286,-2459.062487,0.179782589
0.253164557,0.03738501,5.534752013,4.690150748,3.295080115,4.406719155,4.685892112,5.084736053,1.419430504,0.917243821,0.094840645,10.65850355,408.7161039,4.258320788,0.668648037,0.085387765,0.585675576,0.705061987,7.121808919,0.211221646,0.187625993,6.39E-08,5.91E-08,0.268043574,0.215947608,0.155977611,0.117803879,5.96E-08,1.02E-07,0.05460105,0.603423689,0.799962971,0.485663013,-2555.045093,0.511272554
0.253164557,0.189148873,6.30643608,2.733865431,4.56513006,1.538724576,4.75919917,4.169927062,12.40459508,0.913751284,0.074756827,11.19533795,322.2239602,1.713380733,0.080949708,9.438126593,1.162729463,1.505040083,0.589936848,3.402762223,0.167867128,1.51E-07,6.56E-08,0.206055072,0.283064655,0.173842382,0.109396415,3.41E-08,6.10E-08,0.059774036,0.592801892,0.707021404,0.487280572,-2403.098303,2.108622281
0.253164557,0.329879269,9.093952031,5.498983821,1.673960017,3.087997525,5.911121177,5.236882818,18.29588702,0.880711339,0.218764373,35.63054532,888.6954201,1.800948479,0.46225867,6.403890934,0.655987073,0.018501856,12.74532372,2.235453521,0.153634996,7.52E-08,4.01E-08,0.20072328,0.327994434,0.15407483,0.098186623,3.63E-08,6.41E-08,0.065385621,0.420782601,0.514264489,0.342780412,-2436.513862,0.50274388
0.253164557,0.261191537,10.66695474,6.379497065,2.268411804,2.059877784,4.090330416,4.147251784,0.91817736,0.790598236,0.569309902,258.1853049,1183.389075,4.349112848,0.042100051,1.860528553,1.25155726,0.437465231,1.211332344,13.65031186,0.146552021,1.27E-07,1.02E-07,0.096636639,0.306360699,0.173358744,0.179355599,8.75E-08,1.30E-07,0.097735852,0.187704824,0.732717948,0.436653306,-2452.076692,0.299014454
0.253164557,0.19292268,10.0190477,3.527112623,0.517076494,0.688126867,2.13063261,2.64501457,0.959959172,0.692545865,4.016877409,40.91748904,90.43015378,4.045703375,0.25928154,12.49557182,0.765023536,0.145747728,0.496686321,1.343896672,0.1279455,5.76E-08,4.90E-08,0.180935185,0.380584307,0.160888942,0.109381038,5.39E-08,9.52E-08,0.040264771,0.274082795,0.722648189,0.476952351,-2454.787839,1.658022041
0.253164557,0.198318065,8.303256021,6.557626457,4.158076501,4.790717981,3.472187154,9.021166209,0.36795102,0.907050274,1.814123567,1215.979018,63.43120286,10.38113204,0.099615379,3.371874963,1.43232858,0.071384124,13.06968608,18.90433084,0.174119471,8.04E-08,5.05E-08,0.217796932,0.308798336,0.109907752,0.130676131,4.14E-08,1.20E-07,0.058701087,0.286510711,0.714360635,0.476189292,-2456.388219,0.794359996
0.253164557,0.188730723,5.750264435,5.604900957,2.720492917,3.202759322,4.41609128,5.004968546,13.77480853,0.878504771,0.128473384,3.880767812,360.7897138,1.839475629,1.050372149,1.835961778,0.510159109,0.053111324,4.468753422,16.39717272,0.122058233,6.54E-08,3.35E-08,0.178911795,0.340930019,0.134789216,0.137290338,3.88E-08,1.06E-07,0.086020155,0.360936626,0.4357674,0.394051851,-2484.314071,2.432490057
0.253164557,0.100836979,5.25424031,4.171657919,2.299310576,3.166760465,3.759184037,4.693772787,20.12105464,0.875957575,0.05298046,2.195974532,28.90318638,1.430255423,0.020039998,0.508834062,1.474116344,0.053444858,7.296066252,0.216043848,0.05699379,7.09E-08,8.57E-08,0.181394959,0.3889944,0.18154145,0.143407984,6.07E-08,6.08E-08,0.047667139,0.295320096,0.461450967,0.340838098,-2341.3855,0.38647011
