D,sigma,b1,b2,b3,b4,b5,b6,theta,alpha,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.022881356,0.086008555,5.615726992,3.497076857,2.583945397,3.463420688,4.281179924,4.521549496,0.633535922,0.888222873,24.94155016,107.0082257,5.138981012,9.048990553,0.17786063,1.919337775,3.304203062,0.345138583,3.713897529,1.606762993,0.195340665,7.33E-08,3.14E-08,0.17298843,0.301850279,0.136025838,0.103127379,5.61E-08,7.24E-08,0.090667175,0.37968787,0.592713916,0.594486201,-2377.190216,3.143589483
0.022881356,0.158336374,3.683682223,3.637758363,1.572358799,3.47926666,3.230373299,5.589783824,0.600816246,0.885975104,3.81817079,11.12458757,3.714734961,14.11115208,0.130294543,5.081088494,4.285863882,0.323685478,31.60870522,16.03397483,0.065986084,4.72E-08,3.50E-08,0.233930864,0.364192021,0.146975135,0.096228622,6.23E-08,7.27E-08,0.092687056,0.518296066,0.461075057,0.459241792,-2360.076931,0.199540446
0.022881356,0.107917695,4.918135083,3.582513905,1.973794042,3.151779413,3.49472228,4.24039336,1.8201835,0.838911242,13.68722446,117.9077114,1.799984708,4.196943177,0.08023385,0.428078413,3.117504493,0.178918959,7.258518919,9.724993072,0.23577391,7.49E-08,8.47E-08,0.083936724,0.345351952,0.159923966,0.118284385,4.13E-08,1.26E-07,0.056728737,0.346300905,0.545897312,0.36013718,-2338.522422,0.544473594
0.022881356,0.11768437,5.576327073,2.34693476,2.989271309,2.575056228,4.32652939,4.25672262,1.657665312,0.886035591,42.18367672,220.7596878,2.986328016,5.387231276,0.097340672,1.084947948,3.602841339,0.398933938,15.14459113,0.255408424,0.197451771,7.05E-08,5.58E-08,0.113259988,0.360845301,0.153831692,0.142614833,4.53E-08,7.25E-08,0.031996172,0.485754535,0.441136682,0.493633328,-2353.211604,0.32414764
0.022881356,0.081127182,4.614547606,3.997150619,3.452006875,3.602857958,4.52068589,4.226812,0.431033616,0.894962427,147.5389071,33.54672476,18.84677968,14.89071906,0.730159535,0.704182514,2.228995231,0.063470475,8.151361379,18.64976417,0.122930323,5.87E-08,7.22E-08,0.162929254,0.448895724,0.113610802,0.08915455,3.53E-08,7.35E-08,0.062479107,0.386267229,0.446138589,0.348304503,-2545.068558,107.6496257
0.025423729,0.122859692,6.400622954,0.424889646,0.943921462,0.5027302,2.742935883,2.386017008,1.392946091,0.736328623,27.75186704,51.53284376,4.967486201,7.055645487,0.315461764,4.964066354,4.231014914,0.088963119,1.769216027,0.53301834,0.094184584,7.28E-08,1.18E-07,0.216789606,0.255726879,0.162938834,0.188762158,1.09E-07,1.53E-07,0.081597486,0.207003709,0.635307098,0.477170435,-2401.457009,0.410204197
0.025423729,0.127586889,5.297799444,3.151245323,2.667281515,3.436372855,4.120987147,4.29336126,2.722624895,0.866681405,13.01959901,171.6187523,2.26069671,4.18777314,0.179534804,3.716549476,2.488501874,0.017697155,55.93149078,2.116729628,0.160235485,7.10E-08,4.44E-08,0.210207769,0.289197651,0.142221084,0.123509647,5.55E-08,6.69E-08,0.074628126,0.473074062,0.46680109,0.383961122,-2352.519073,0.786894427
0.025423729,0.115637397,5.624551478,2.916742361,1.627170013,2.004339989,4.11373354,2.748187559,0.745541802,0.818346548,2.607761209,50.96308213,3.972777766,11.76367279,0.237937837,1.182428164,2.781285666,0.139732078,4.949314633,11.70172233,0.220943921,7.04E-08,7.90E-08,0.085701099,0.411539013,0.135528861,0.097435452,4.31E-08,1.27E-07,0.048851334,0.280264576,0.573821624,0.327343317,-2369.480011,5.009440843
0.025423729,0.082587017,3.898026553,3.074017222,1.229809613,2.864531117,3.339025476,4.07940075,0.805808475,0.860760351,8.334459945,101.6857305,7.848181393,13.238808,0.58988006,4.460636106,3.281530663,0.128605519,3.021715973,0.886437883,0.160782885,7.69E-08,7.34E-08,0.12957259,0.384836394,0.129665754,0.142730704,4.21E-08,7.13E-08,0.052411409,0.33451387,0.426489639,0.358895741,-2408.707989,0.403415016
0.025423729,0.13329764,5.981038029,2.043807906,2.080582156,2.874894541,2.856685203,5.104214363,0.394958316,0.912790983,164.6960309,156.7799277,25.01621826,37.27656183,0.066507136,4.749930659,5.354804042,0.095723524,9.511382309,3.859365993,0.136934368,8.92E-08,7.35E-08,0.220619245,0.305173442,0.129252924,0.142817236,3.51E-08,8.50E-08,0.065202502,0.450797543,0.464736488,0.402855076,-2706.757918,30.47565227
