sigma,b1,b2,b3,b4,b5,b6,theta,alpha,L1,L2,wL1,wL2,c1,c2,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.04934785010544,4.93095790675837,4.18804842371979,4.00523484039133,4.21656916263532,4.54346624503709,4.69752460835003,1.52380784328206,0.906960149984076,13.4717219791456,30.0363656053638,3.43373833510719,3.11122371763097,0.451952991686163,1.07739130650402,0.320159364510229,12.532903693608,0.021108670482961,0.12125028931416,4.46502245751656E-08,7.42359666846822E-08,0.203748192731519,0.251972425868929,0.087123414584198,0.163480562120267,8.90978683688509E-08,5.47449424047459E-08,0.172424852651926,0.436958223148541,0.578264785707588,0.332198920232579,-2343.69333293091,0.420848046441699
0.062752608856557,5.39988390453985,4.64323288990487,4.95106621031824,4.77175906850166,5.31254312990494,5.42402085659827,5.55824536427707,0.954239216313252,15.013592977245,10.9829678339679,3.21264448789736,2.29246087345896,0.175618174103641,0.106773789604133,0.234135768914828,0.412298662450438,0.273931676645708,0.090807958787859,5.91524068416222E-08,6.45803428049604E-08,0.308688741238475,0.290438682602891,0.080957317637728,0.064754186523547,5.35207376955011E-08,4.59061202199463E-08,0.164352890049892,0.528471478781016,0.509635322377767,0.334672133200245,-2343.83104137722,0.814506978689893
0.05890673063693,4.99911269350583,4.25282180262748,3.96721794235901,4.44227610643371,4.55312283472888,4.76615362401317,4.69220913289318,0.907327906427093,47.6179558577878,10.520009825617,2.51850096235236,1.20208835022375,0.268659465850044,0.8552341588093,0.475313811418789,22.6310480487867,0.598500291153192,0.102919180093278,8.66215132885604E-08,9.11065798007712E-08,0.182026233283401,0.107987477811381,0.129315746628478,0.309669167723447,6.05148256344961E-08,8.47452135586316E-08,0.168081871471883,0.551395262643537,0.450422353774711,0.3579194898066,-2344.31156612947,3.44217385429691
0.053862132989816,4.35041594460215,4.49822526043707,3.69869316851481,4.61546597790209,4.09683195889034,4.96249860632552,1.68008936217968,0.964399700137154,67.8986369682776,9.35708629511148,6.09197700177294,3.53112718179271,0.139155652833571,0.931540572675057,0.800271496895716,1.27815635945895,0.0530457906066,0.104589417975429,1.08812906266311E-07,1.18155295362864E-07,0.096589354362403,0.215414344596459,0.076847568508121,0.181068571685732,5.59163600894853E-08,6.07200762027868E-08,0.325490399267219,0.26696458753324,0.435996562968818,0.447942336264272,-2344.41085107214,0.689537491439511
0.0501948713128,5.63007030772081,4.3548859776277,4.98535064446109,4.84438580921104,5.53761092580748,5.2742487607038,10.0307371844054,0.976989534624158,35.8768074442985,16.2929720728087,3.08600330643827,2.34124944625066,0.318082820471583,1.19370328070921,0.262800599493893,0.570645687129706,0.190561167477765,0.281139143906461,4.84178728828755E-08,4.72564052990427E-08,0.202234553025882,0.20997216414665,0.066468931760371,0.043414612433015,7.14125619438743E-08,4.38931655262108E-08,0.196770383747615,0.964603199870302,0.391490890426319,0.357603707151478,-2344.53132887493,0.630232032239974
0.059279779564959,4.89933092722226,4.37225339366648,4.24355645795803,4.6778522660519,4.38234959667174,5.24786906365227,1.2665826449487,0.912238592516223,22.7299823512229,6.32329488488053,4.53509950411115,1.5570615556796,0.339297284484391,0.856129293765847,0.209778032155525,17.2509806271764,0.794265379400482,0.098821388013154,8.79675065257589E-08,8.58340295775651E-08,0.189995257188937,0.10727113605968,0.123401939753992,0.316719281845062,5.86295312804903E-08,7.91411994120171E-08,0.163790685566908,0.656907659555826,0.523877340106192,0.285870668965414,-2344.57243396762,1.26992137173903
0.052778475193613,4.69386176309323,4.1826617387516,3.80153601593455,4.21359091889858,3.85405278755493,4.66176616570085,5.44505191490579,0.898372994786985,15.859033671519,25.2096367214099,1.98593106143842,1.87530256490933,0.245839338775335,0.570442834498713,0.759384530537083,4.21451236750905,0.279170071180063,0.304804752713059,6.42625666786657E-08,6.42008131351468E-08,0.087837064317157,0.287352960081801,0.060784130258957,0.199780338431383,7.13942711930565E-08,9.43927901102434E-08,0.059440459947202,0.301797548381956,0.535998907221426,0.343992935441794,-2344.85204017915,0.560517281508356
0.060710111861432,4.51531578286284,3.91916596763429,3.67757143215894,3.86325844681644,4.28083070783198,4.39766829173711,5.06719738701458,0.916938716417949,16.0524628132999,88.0640237085215,2.91624628851075,2.50664160176513,0.850116551522745,1.16273863477824,0.495368484119293,1.92492812230243,0.998769992268211,0.105604832091692,7.42259234518346E-08,8.36349242355091E-08,0.30787537488056,0.15844455616175,0.132441242724045,0.227046406147768,7.14605787347007E-08,6.83623639772129E-08,0.068587290310395,0.39172805070632,0.476922084837427,0.319566019779673,-2344.98692889288,1.22894368697855
0.035666141141511,4.43539311478158,4.30852434496635,3.77911053061118,4.62969942072733,3.90561172127936,5.06461728458986,3.69825767582162,0.936231319796954,6.91158808005786,19.334027332748,1.87857850784874,1.6021613477075,0.426663774003614,0.599550430589991,0.693261680471952,5.70021063817978,0.331658368013879,0.30856395959591,6.536235880011E-08,5.03300403376198E-08,0.160217909751126,0.331438455735107,0.045340403696908,0.071184752252252,5.40078664894458E-08,6.66797862292633E-08,0.083254282588646,0.415777422728981,0.452946530193171,0.34159721056309,-2345.21622846853,0.647147054135579
0.059068628711206,4.80025329681156,4.19959369996632,3.92484512286952,4.37835794560711,4.31084646791864,4.98414199760376,0.746997736730136,0.904097611746963,10.9539851017926,15.0778868722841,8.99761564494703,6.20578719551927,0.651476954371907,0.585483081161373,0.204269615788653,1.78359653236333,0.462227946857321,0.186979482653676,7.90175016261582E-08,6.45973389077717E-08,0.131134393524803,0.365626205622933,0.174828409614438,0.097983191922615,6.5737838662977E-08,5.79194807246836E-08,0.043448049389375,0.513797159532233,0.52380732006078,0.341215059338553,-2345.24362647275,0.289197509377502
