sigma,b1,b2,b3,b4,b5,b6,theta,alpha,D,L1,L2,wL1,wL2,c1,c2,omega,xi,P1,P2,S_0,I1_0,I2_0,R1_0,R2_0,Rc1_0,Rc2_0,J1_0,J2_0,R_0,phi,rho,rhoS,loglik,loglik.se
0.091726056,4.979429016,3.752410947,2.215020951,3.160007006,3.974778451,4.16649076,0.633142206,0.855350258,0.091777513,16.39493628,62.15165937,7.378302648,14.28246746,0,0.904198815,0.791251809,0.067690687,9.106340159,18.3854701,0.246439542,9.77E-08,1.01E-07,0.084670921,0.279228215,0.149561745,0.143634244,8.35E-08,1.51E-07,0.096464899,0.346003007,0.494071263,0.430803951,-2326.290193,0.415773143
0.107487069,4.347767783,3.36276255,2.401257441,3.745206695,3.602153157,4.505919874,30.51057335,0.911718558,0.070818045,59.34705093,49.35181962,1.937785529,1.998257052,0.305084746,2.710767428,0.611092431,0.322849513,7.123213244,0.764475843,0.088768737,4.57E-08,8.98E-08,0.247436778,0.291228448,0.15417158,0.162777304,5.00E-08,7.09E-08,0.055616897,0.338428545,0.409527582,0.359598577,-2326.730075,1.044907683
0.088131967,4.395171548,3.03112318,2.89925539,3.424333283,3.409548266,4.541701909,0.696386171,0.890225956,0.105093111,119.7401993,86.65234993,12.35485264,13.52772247,1.779661017,2.06097842,0.30914043,0.031326431,3.494304556,6.563531632,0.177613246,8.54E-08,5.98E-08,0.063556614,0.396370381,0.12485072,0.146889596,6.22E-08,6.67E-08,0.090719169,0.658731874,0.414033261,0.412904216,-2327.142904,1.571724333
0.122265478,5.450523376,4.042232264,2.126971977,3.860412027,4.055487966,4.354884857,1.043705103,0.855359548,0.130661074,27.96911104,28.92110456,4.574189708,6.032942035,0.050847458,0.377921908,0.426447567,0.037547019,9.1353576,0.189831775,0.165004714,8.13E-08,5.29E-08,0.083531284,0.413217083,0.168249862,0.10292402,8.15E-08,9.58E-08,0.067072726,0.306157539,0.464888185,0.330047795,-2327.219758,0.6501876
0.094980551,4.823837475,3.024382647,3.422689254,2.51768997,4.28521701,3.970668238,2.835160321,0.888467722,0.155779325,79.4254887,110.2857863,2.560313295,3.397070588,1.372881356,2.64490689,0.240515828,0.022408731,4.549032037,2.956984993,0.209715199,8.59E-08,8.55E-08,0.070690962,0.36398574,0.133627781,0.119483647,4.10E-08,8.34E-08,0.102496375,0.567385455,0.3826458,0.383308536,-2327.709241,0.223994662
0.089404939,3.377851756,3.359919821,1.848874925,3.064330154,3.018819728,4.296906814,0.981500333,0.87569578,0.131187244,50.41775465,234.7239188,6.833428599,8.742438324,1.627118644,2.415177467,0.386942634,0.014955519,7.557992142,7.139892749,0.09851724,9.34E-08,5.97E-08,0.2089956,0.392691281,0.096205772,0.16105555,6.62E-08,8.62E-08,0.042534253,0.292796535,0.45796282,0.346375755,-2328.273301,0.514332029
0.083983709,4.676137071,3.717864444,3.545272435,3.82004204,4.213969986,4.768494677,0.815761125,0.914350572,0.068152048,7.557696233,25.60086877,5.050940717,8.245210039,0.355932203,1.384516887,0.505770364,0.137648676,7.212123465,22.83827769,0.096721385,9.49E-08,4.36E-08,0.182840633,0.375338016,0.144911499,0.140088889,6.76E-08,1.33E-07,0.06009924,0.38194864,0.41831317,0.439625231,-2328.297819,0.811243945
0.118911062,4.990525494,3.251342031,3.240934302,3.284137992,4.386016621,4.460157518,1.104933392,0.860678192,0.075335265,11.96422632,72.69861019,3.167481725,6.634651534,0,0.212356409,0.736344066,0.084243799,4.088750052,0.085496166,0.138676026,1.03E-07,7.91E-08,0.117648178,0.413165647,0.131422445,0.127093861,5.89E-08,7.31E-08,0.071993529,0.379765549,0.392303632,0.418696931,-2328.327796,0.268421312
0.110547872,4.615016995,3.879325553,3.02214556,3.61319879,3.511387347,4.962772771,1.501294887,0.8696827,0.189230512,31.26656094,149.1166772,2.833862448,5.245496603,0.610169492,1.602282357,0.199802615,0.008048008,2.022394381,12.8144985,0.15540378,9.02E-08,4.11E-08,0.148682813,0.383123104,0.148653097,0.121136999,5.06E-08,9.29E-08,0.042999932,0.474686683,0.434012683,0.460951723,-2328.439526,1.329312136
0.085743026,4.588727852,3.897952814,2.822851526,3.662511687,3.92196064,4.668033868,2.75702205,0.88992266,0.089815379,9.718025125,17.90819341,1.675311996,2.016831936,0.813559322,0.752225309,0.359773764,0.076831065,6.278899518,1.837321111,0.08914823,9.53E-08,5.18E-08,0.144402014,0.412263068,0.144314909,0.149189697,6.61E-08,1.27E-07,0.060681742,0.301077495,0.584186054,0.301447589,-2328.90397,0.351086838
