"","c1","c2","loglik"
"213",1.53846153846154,0,-1635.51674084614
"214",1.58974358974359,0,-1634.52067611307
"215",1.58974358974359,0,-1639.73673136516
"216",1.58974358974359,0,-1628.31803399079
"217",1.64102564102564,0,-1637.83481637345
"218",1.64102564102564,0,-1636.61628515508
"219",1.64102564102564,0,-1624.37707509536
"220",1.69230769230769,0,-1635.96949916534
"221",1.69230769230769,0,-1636.54550111281
"222",1.69230769230769,0,-1636.55794883295
"223",1.74358974358974,0,-1632.63693034509
"224",1.74358974358974,0,-1638.10065824566
"225",1.74358974358974,0,-1636.61790100224
"226",1.79487179487179,0,-1638.68514204969
"227",1.79487179487179,0,-1630.59130712485
"228",1.79487179487179,0,-1635.4062392797
"229",1.84615384615385,0,-1633.63474722819
"230",1.84615384615385,0,-1638.42101353811
"231",1.84615384615385,0,-1637.06140806328
"232",1.8974358974359,0,-1634.21371613892
"233",1.8974358974359,0,-1633.7987509299
"234",1.8974358974359,0,-1635.52326704944
"235",1.94871794871795,0,-1638.19025741254
"236",1.94871794871795,0,-1636.62867848861
"237",1.94871794871795,0,-1634.09484294589
"238",2,0,-1628.50506655483
"239",2,0,-1636.0850498014
"240",2,0,-1635.88023155437
"241",0,0,-1672.2224721109
"242",0,0,-1672.45495863255
"243",0,0,-1676.23664268725
"244",0.0512820512820513,0,-1654.6311517791
"245",0.0512820512820513,0,-1644.59153101171
"246",0.0512820512820513,0,-1649.37455174702
"247",0.102564102564103,0,-1628.10762112472
"248",0.102564102564103,0,-1631.41151806687
"249",0.102564102564103,0,-1632.14896178822
"250",0.153846153846154,0,-1621.47784142302
"251",0.153846153846154,0,-1622.5773975955
"252",0.153846153846154,0,-1620.75587914928
"253",0.205128205128205,0,-1612.93935885801
"254",0.205128205128205,0,-1611.75835266358
"255",0.205128205128205,0,-1611.90843020173
"256",0.256410256410256,0,-1607.5208390604
"257",0.256410256410256,0,-1607.15796782239
"258",0.256410256410256,0,-1608.5560889689
"259",0.307692307692308,0,-1604.33605452052
"260",0.307692307692308,0,-1604.17245379396
"261",0.307692307692308,0,-1605.62175996032
"262",0.358974358974359,0,-1604.78062537141
"263",0.358974358974359,0,-1602.39103377585
